File	Left Context	Hit	Right Context
20921_tagged.txt	VVI the_AT movie_NN1 without_IW subtitles_NN2 we_	PPIS2 will_VM be_	VBI able_JK to_TO feel_
20957_tagged.txt	VVG around_RP their_APPGE first_MD birthday_NN1 ._. I_	PPIS1 will_VM be_	VBI capable_JJ of_IO speaking_
20994_tagged.txt	n't_XX start_VVI cleaning_VVG up_RP we_	PPIS2 will_VM be_	VBI in_II big_JJ trouble_
21003_tagged.txt	I_PPIS1 ca_VM n't_XX ensure_VVI I_	PPIS1 will_VM be_	VBI there_RL on_II time_
21507_tagged.txt	AT1 party_NN1 with_IW my_APPGE friends_NN2 I_	PPIS1 will_VM be_	VBI very_RG energetic_JJ and_
21566_tagged.txt	AT1 party_NN1 with_IW my_APPGE friends_NN2 I_	PPIS1 will_VM be_	VBI very_RG energetic_JJ and_
21899_tagged.txt	VBZ also_RR necessary_JJ stuff_NN1 ._. So_RR we_	PPIS2 will_VM be_	VBI able_JK to_TO cook_
22636_tagged.txt	VVI in_II a_AT1 university_NN1 when_RRQ I_	PPIS1 will_VM be_	VBI at_II home_NN1 ._. 
22664_tagged.txt	XX good_JJ for_IF us_PPIO2 ._. Also_RR we_	PPIS2 will_VM be_	VBI angry_JJ to_II each_
22751_tagged.txt	II my_APPGE country_NN1 next_MD year_NNT1 I_	PPIS1 will_VM be_	VBI reinstated_VVN again_RT in_
22782_tagged.txt	if_CS we_PPIS2 excersice_VV0 regularly_RR we_	PPIS2 will_VM be_	VBI healthy_JJ 
22995_tagged.txt	CS there_EX is_VBZ a_AT1 fire_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO cook_
23004_tagged.txt	I_	PPIS1 will_VM be_	VBI on_II the_AT Desert_
23055_tagged.txt	Next_MD Monday_NPD1 I_	PPIS1 will_VM be_	VBI flying_VVG back_RP home_
23055_tagged.txt	TO happen_VVI on_II Saturday_NPD1 because_CS I_	PPIS1 will_VM be_	VBI under_II the_AT noxious_
23216_tagged.txt	PPH1 is_VBZ only_JJ few_NN1 days_NNT2 I_	PPIS1 will_VM be_	VBI on_II a_AT1 fligt_
23781_tagged.txt	VV0 this_DD1 holyday_NN1 ._. I_PPIS1 hope_VV0 I_	PPIS1 will_VM be_	VBI able_JK to_TO celebrate_
23895_tagged.txt	DAR informition_NN1 about_II the_AT subject_NN1 I_	PPIS1 will_VM be_	VBI capable_JJ to_II writ_
24005_tagged.txt	CC I_PPIS1 introduced_VVD myself_PPX1 and_CC I_	PPIS1 will_VM be_	VBI glad_JJ to_TO study_
25104_tagged.txt	NN1 which_DDQ has_VHZ this_DD1 feature_NN1 I_	PPIS1 will_VM be_	VBI happy_JJ ._. If_CS I_
25107_tagged.txt	NN1 especially_RR with_IW my_APPGE parents_NN2 ._. I_	PPIS1 will_VM be_	VBI happier_JJR if_CS I_
25158_tagged.txt	We_	PPIS2 will_VM be_	VBI excited_VVN@ taking_VVG a_
25166_tagged.txt	VBM still_RR not_XX sure_JJ if_CS I_	PPIS1 will_VM be_	VBI free_JJ 
26062_tagged.txt	CS I_PPIS1 train_VV0 every_AT1 day_NNT1 I_	PPIS1 will_VM be_	VBI able_JK to_TO draw_
26434_tagged.txt	NN1 )_) ._. With_IW such_DA a_AT1 book_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO do_
26900_tagged.txt	II life_NN1 ._. I_PPIS1 swear_VV0 that_CST I_	PPIS1 will_VM be_	VBI a_AT1 father_NN1 who_
27014_tagged.txt	NN2 in_II my_APPGE life_NN1 that_CST I_	PPIS1 will_VM be_	VBI sharing_VVG other_JJ people_
27090_tagged.txt	PPIS2 keep_VV0 realizing_VVG our_APPGE roots_NN2 we_	PPIS2 will_VM be_	VBI more_RGR confident_JJ ._. 
27230_tagged.txt	PPIS2 keep_VV0 realizing_VVG our_APPGE roots_NN2 we_	PPIS2 will_VM be_	VBI more_RGR confident_JJ ._. 
27326_tagged.txt	TO face_VVI all_DB difficulties_NN2 ._. So_RR we_	PPIS2 will_VM be_	VBI happy_JJ all_DB the_
27337_tagged.txt	IO outlook_NN1 ._. Through_II these_DD2 experiences_NN2 I_	PPIS1 will_VM be_	VBI happy_JJ and_CC more_
27697_tagged.txt	do_VD0 n't_XX think_VVI that_CST I_	PPIS1 will_VM be_	VBI able_JK to_TO improve_
28039_tagged.txt	VM be_VBI three_MC main_JJ points_NN2 I_	PPIS1 will_VM be_	VBI discussing_VVG such_II21 as_
28253_tagged.txt	NN1 ._. In_II these_DD2 continuous_JJ days_NNT2 we_	PPIS2 will_VM be_	VBI sweeping_VVG@ our_APPGE rooms_
28744_tagged.txt	JJ to_II it_PPH1 ._. I_PPIS1 think_VV0 I_	PPIS1 will_VM be_	VBI used_VVN to_II Pitts_
28867_tagged.txt	AT1 lot_NN1 of_IO food_NN1 because_CS we_	PPIS2 will_VM be_	VBI eating_VVG during_II Oshougatstu_
28897_tagged.txt	NN1 ._. Finally_RR we_PPIS2 hope_VV0 that_CST we_	PPIS2 will_VM be_	VBI able_JK to_TO be_
29937_tagged.txt	PPHS1 'll_VM ever_RR do_VDI it_PPH1 I_	PPIS1 will_VM be_	VBI her_APPGE #1_NNU fan_NN1 ._. 
30888_tagged.txt	AT childhood_NN1 dreams_NN2 of_IO what_DDQ we_	PPIS2 will_VM be_	VBI one_MC1 day_NNT1 ._. When_
30930_tagged.txt	I_	PPIS1 will_VM be_	VBI laughing_VVG and_CC jumping_
30936_tagged.txt	PPIS1 read_VV0 your_APPGE letter_NN1 and_CC I_	PPIS1 will_VM be_	VBI happy_JJ to_TO help_
30962_tagged.txt	VVI him_PPHO1 if_CS he_PPHS1 serious_JJ ._. I_	PPIS1 will_VM be_	VBI Surpris_NP1 and_CC happy_
30963_tagged.txt	First_MD I_	PPIS1 will_VM be_	VBI surprise_NN1 for_IF ten_
30969_tagged.txt	I_	PPIS1 will_VM be_	VBI surprised_JJ ._. I_PPIS1 will_
30992_tagged.txt	1_MC1 I_	PPIS1 will_VM be_	VBI so_RG happy_JJ when_
31001_tagged.txt	NNU2 ._. But_CCB If_CS that_DD1 real_JJ I_	PPIS1 will_VM be_	VBI the_AT happiest_JJT person_
31001_tagged.txt	XX explain_VVI my_APPGE feeling_NN1 and_CC I_	PPIS1 will_VM be_	VBI speechless_JJ ._. 
31020_tagged.txt	IO analytical_JJ chemistry_NN1 ._. I_PPIS1 think_VV0 I_	PPIS1 will_VM be_	VBI a_AT1 perfect_JJ candidate_
31020_tagged.txt	VVG in_II English_NN1 I_PPIS1 think_VV0 I_	PPIS1 will_VM be_	VBI able_JK to_TO improve_
31471_tagged.txt	NN2 will_VM be_VBI good_JJ enough_RR I_	PPIS1 will_VM be_	VBI able_JK to_TO find_
31770_tagged.txt	NN1 replied_VVD Yes_UH of_RR21 course_RR22 I_	PPIS1 will_VM be_	VBI happy_JJ to_TO help_
31777_tagged.txt	VBDZ sorry_JJ and_CC he_PPHS1 mentioned_VVD I_	PPIS1 will_VM be_	VBI more_RGR careful_JJ ._. 
32689_tagged.txt	TO live_VVI a_AT1 nontraditional_JJ life_NN1 I_	PPIS1 will_VM be_	VBI ISOLATED_VVN with_IW my_
32836_tagged.txt	NN1 without_IW computer_NN1 ._. I_PPIS1 think_VV0 I_	PPIS1 will_VM be_	VBI idle_JJ and_CC I_
32862_tagged.txt	PPIS1 have_VH0 a_AT1 DVD_NP1 drive_VV0 I_	PPIS1 will_VM be_	VBI able_JK to_TO watch_
32887_tagged.txt	II their_APPGE face_NN1 as_CSA result_NN1 I_	PPIS1 will_VM be_	VBI happy_JJ ._. That_DD1 is_
32890_tagged.txt	PPIS1 stay_VV0 away_II21 from_II22 illness_NN1 I_	PPIS1 will_VM be_	VBI very_RG happy_JJ ._. From_
32890_tagged.txt	CS I_PPIS1 achieve_VV0 some_DD objectives_NN2 I_	PPIS1 will_VM be_	VBI satisfaction_NN1 ._. Getting_VVG a_
32992_tagged.txt	II their_APPGE faces_NN2 as_CSA result_NN1 I_	PPIS1 will_VM be_	VBI happy_JJ ._. That_DD1 is_
33067_tagged.txt	PPIS1 stay_VV0 away_II21 from_II22 illness_NN1 I_	PPIS1 will_VM be_	VBI very_RG happy_JJ ._. From_
33067_tagged.txt	CS I_PPIS1 achieve_VV0 some_DD objectives_NN2 I_	PPIS1 will_VM be_	VBI gleesome_JJ ._. Getting_VVG a_
33155_tagged.txt	VVI these_DD2 tasks_NN2 on_II Sunday_NPD1 I_	PPIS1 will_VM be_	VBI so_RR exhausted_VVN in_
33355_tagged.txt	NN1 ._. If_CS I_PPIS1 study_VV0@ business_NN1 I_	PPIS1 will_VM be_	VBI a_AT1 successful_JJ businessman_
33550_tagged.txt	CS I_PPIS1 buy_VV0 a_AT1 car_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO go_
